intech取得ITH普通股53,890,200股，計2100萬美元4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:ITH Corpor,2021-07-13 13:07:06.392871
Money DJ1 天高通、博通、聯發科已開始研發Wi-Fi 7晶片，問世還需2-3年目前，高通、博通、聯發科三大廠商已經在研發相關晶片，但實際上有產品問世，估計則還需要2-3年。根據報導，高通副總裁R,2021-07-13 13:07:06.393077
tel指出，高通在Wi-Fi 6產品線過去兩年已經有成熟的生產，包括手機、PC、路由器，產品線很廣，Wi-Fi ,2021-07-13 13:07:06.393147
揭祕紫光侵台內幕中國「半導體國家隊」紫光集團陷入債務危機，紫光集團昨（9日）遭債權人徽商銀行聲請破產重整，據了解，紫光集團昔日曾大手筆地買遍美、中、台不下十家大型半導體公司，更曾狂言要收購台積電、合併聯發科。《財訊》採訪團隊曾於2015年走訪中國北京、上海，一窺紫光 ,2021-07-13 13:07:06.393566
tw3 天未受測試廠停工影響 聯發科6月、Q2、上半年營收全寫新高聯發科 (2454-TW) 今 (9) 日公布 6 月營收 477.56 億元，月增 15.56%，年增 88.92%，第二季營收 1256.53 億元，季增 16.31%，年增 85.87%，累計上半年營收 2336.86 億元，年增 ,2021-07-13 13:07:06.394056
