intech取得ITH普通股53,890,200股，計2100萬美元4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:ITH Corpor,2021-07-13 13:05:32.236009
Money DJ1 天電子旺季 聯發科、宏捷科法人挺進入第三季電子業的出貨旺季，12日台股上市電子股成交比重攀高超過上市運輸類股，逐步拿回主導權，法人看好的進入出貨旺季股及展望樂觀的有聯發科（2454）、宏捷科（8086）等。 聯發科12日 ,2021-07-13 13:05:32.236272
工商時報4 小時魯大師最新手機晶元性能榜：聯發科崛起 超華為麒麟、直逼高通7月12日，魯大師發佈2021半年報手機排行，在晶元性能榜中，驍龍888稱霸毫無懸念，驍龍870位列第二，聯發科天璣1200力壓麒麟9000，躋身前三。sin,2021-07-13 13:05:32.236503
tw4 小時高通、博通、聯發科已開始研發Wi-Fi 7晶片，問世還需2-3年目前，高通、博通、聯發科三大廠商已經在研發相關晶片，但實際上有產品問世，估計則還需要2-3年。根據報導，高通副總裁R,2021-07-13 13:05:32.236666
tel指出，高通在Wi-Fi 6產品線過去兩年已經有成熟的生產，包括手機、PC、路由器，產品線很廣，Wi-Fi ,2021-07-13 13:05:32.236731
中时电子报1 天外資：聯發科Q3有望再創高 目標價續看1500元擺脫京元電染疫影響，IC設計龍頭聯發科（2454）6月，第2季同步改寫新高，第2季更繳出1256億元的成績，逼近財測高標。日系外資看好聯發科5G、客製化晶片優市佔率提升，預期第3季有望續創新高，明年面臨產業庫存逆風有撐，維持買進評等，目標價1500元 ,2021-07-13 13:05:32.237240
ily1 天聯發科計畫推出天璣2000系列處理器 率先採Armv9指令集設計Arm日前宣布推出採Armv9指令集架構的新款CPU、GPU設計，並且預期最快會在今年內由合作夥伴推出第一款應用產品，市場開始有傳聞指稱與Arm維持長期合作的聯發科，可能準備推出以天璣2000系列為稱的新款處理器，其中將會率先採用Arm新款CPU、G ,2021-07-13 13:05:32.237674
