intech取得ITH普通股53,890,200股，計2100萬美元4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:ITH Corpor,2021-07-13 11:12:09.443328
Money DJ1 天電子旺季 聯發科、宏捷科法人挺進入第三季電子業的出貨旺季，12日台股上市電子股成交比重攀高超過上市運輸類股，逐步拿回主導權，法人看好的進入出貨旺季股及展望樂觀的有聯發科（2454）、宏捷科（8086）等。 聯發科12日 ,2021-07-13 11:12:09.443606
工商時報2 小時魯大師最新手機晶元性能榜：聯發科崛起 超華為麒麟、直逼高通7月12日，魯大師發佈2021半年報手機排行，在晶元性能榜中，驍龍888稱霸毫無懸念，驍龍870位列第二，聯發科天璣1200力壓麒麟9000，躋身前三。sin,2021-07-13 11:12:09.443841
tw2 小時紫光風暴1》曾狂言買下台積電、併購聯發科！中國紫光集團破產重整,2021-07-13 11:12:09.443873
揭祕紫光侵台內幕中國「半導體國家隊」紫光集團陷入債務危機，紫光集團昨（9日）遭債權人徽商銀行聲請破產重整，據了解，紫光集團昔日曾大手筆地買遍美、中、台不下十家大型半導體公司，更曾狂言要收購台積電、合併聯發科。《財訊》採訪團隊曾於2015年走訪中國北京、上海，一窺紫光 ,2021-07-13 11:12:09.444182
财讯2 天高通、博通、聯發科已開始研發Wi-Fi 7晶片，問世還需2-3年目前，高通、博通、聯發科三大廠商已經在研發相關晶片，但實際上有產品問世，估計則還需要2-3年。根據報導，高通副總裁R,2021-07-13 11:12:09.444343
tel指出，高通在Wi-Fi 6產品線過去兩年已經有成熟的生產，包括手機、PC、路由器，產品線很廣，Wi-Fi ,2021-07-13 11:12:09.444408
ily1 天不懼中國智慧型手機市場銷售雜音！聯發科蔡明介：有信心全年營收成長超過4成全球手機晶片設計龍頭聯發科今（5）日舉行股東會，期間小股東發問十分踴躍，被問到中國智慧型手機市場銷售似乎傳雜音等問題，聯發科董事長蔡明介老神在在回應，「我們從手機到平板、無線網路、電視等各式各樣的晶片算是蠻多元，對今明年整體看法還是相當正面。」 ,2021-07-13 11:12:09.444967
