風傳媒49 分鐘台積電.鴻海證實完成簽約 向上海復星採購1000萬劑BNT上海復星醫藥昨晚（11日）宣布，和台積電、鴻海永齡基金會簽約，將售予1000萬劑BNT疫苗，包括鴻海和台積電都發布重訊證實，並強調這屬於重大天然災害之公益性質捐贈，將提公司董事會追認，這批疫苗進口價30美元，加上倉儲費用約31~34美元，最快9月過後 ,2021-07-13 11:12:09.511321
NOWnews35 分鐘鴻海、台積電買到BNT 謝志偉特別感謝素未謀面的「她」鴻海與台積電終於買到國人引頸企盼的BNT疫苗，這段期間一直沒出聲的駐德代表謝志偉，今天(13日)在臉書發文表示，大部分人都感謝鴻海創辦人郭台銘和台積電，但其實他最想感謝的是一位從未謀面的疾管署女性公務員「Yuchen」。BCC (Bro,2021-07-13 11:12:09.512198
) on MSN.com1 小時風評：「鴻海─台積電模式」戳破陳時中的謊言台積電、鴻海、永齡基金會獲得政府授權後，委託裕利醫藥向香港復星採購1000萬劑BNT疫苗，再由民間企業捐贈疫苗給衛福部疾管署；這次由台灣政府授權民間，由上海復星授權香港復星簽約 ,2021-07-13 11:12:09.512490
風傳媒3 小時台積電：與鴻海暨永齡基金會完成捐贈BNT疫苗予衛福部疾管署作為COVID-19防疫使用3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由:不適用 6.因應措施:不適用 7.其他應敘明事項: ,2021-07-13 11:12:09.512741
13公共电视15 小時鴻海、台積電洽購BNT幕後 美日援台關鍵轉折台積電與鴻海公告將各捐贈500萬劑BNT疫苗。總統府人士今天還原過程，強調政府只有「拚」、沒有「卡」，此事經台德政府、兩大企業傾全力才能突破，有沒有中國的政治力干擾不言可喻，而美、日「即刻救援」產生極大壓力，最後讓中國轉向「不卡台灣」。 府方人士指出 ,2021-07-13 11:12:09.513207
