,0,1,0,0,0,1,2,3,4
37,1000000000.0,1.12,2596.0,綠意,"['000', '大展證', '000']","['同亨', '000', '000']","['000', '000', '惠普']",胡連6279,高僑6234
38,592649560.0,1.63,2640.0,大車隊,大車隊2640,千附精密6829,亞元6109,其陽3564,力新5202
39,1886358880.0,0.94,2641.0,正德,['000'],凱碩8059,南仁湖5905,凱崴5498,建錩5014
40,300000000.0,3.36,2643.0,捷迅,捷迅2643,曜亞4138,明係6804,志旭8067,寬宏藝術6596
41,845760000.0,-0.27,2718.0,晶悅,['000'],鉅橡8074,淳紳4529,旭品3325,優盛4121
42,340721000.0,-0.1,2719.0,燦星旅,燦星旅2719,花王8906,逸昌3567,奈米醫材6612,朋億6613
43,596563450.0,-0.51,2724.0,富驛-KY,富驛-KY2724,由田3455,長園科8038,亞元6109,育富6194
44,357852160.0,-1.87,2726.0,雅茗-KY,['000'],精湛2070,杰力5299,樂威科-KY4154,天鉞電5251
45,232666800.0,3.5,2729.0,瓦城,瓦城2729,威健生技6661,昱泉6169,艾華6204,豆府2752
46,458852130.0,1.68,2732.0,六角,"['000', '泰金-KY']","['集雅社', '000']",福大4402,天良4127,廣閎科6693
47,372597600.0,-0.98,2734.0,易飛網,易飛網2734,倉和6538,桓鼎-KY5543,欣厚-KY4924,富致6642
48,489923830.0,0.58,2736.0,富野,"['000', '福永生技', '000', '000']","['富野', '000', '000', '來思達']","['000', '000', '000', '000']","['000', '000', '陸海', '000']",宏易4530
49,131854840.0,-0.46,2740.0,天蔥,"['000', '霖宏']","['天方能源', '000']",辣椒4946,尚凡5278,通訊-KY6404
50,320317000.0,-0.33,2743.0,山富,"['000', '振發']","['樂威科-KY', '000']",商之器8409,紘康6457,康聯訊3672
51,293085260.0,-1.03,2745.0,五福,['000'],弘塑3131,富晶通3623,台微醫6767,華鎂鑫8087
52,230199840.0,3.76,2752.0,豆府,豆府2752,上洋6728,艾華6204,松崗6240,瓦城2729
53,462130000.0,1.53,2754.0,亞洲藏壽司,['000'],三竹8284,福大4402,皇將4744,六角2732
54,200000000.0,1.56,2755.0,揚秦,揚秦2755,智聯服務6751,全域3067,台灣銘板6593,華義3086
55,170436250.0,2.06,2756.0,聯發國際,['000'],綠界科技6763,大塚3570,弘煜科6482,安碁資訊6690
56,546268780.0,1.85,2916.0,滿心,滿心2916,東碩3272,德勝8048,雙美4728,旭源8421
57,328051740.0,-3.51,2924.0,東凌-KY,東凌-KY2924,精測6510,佰研3205,泓瀚4741,宇智6470
58,473896500.0,-0.16,2926.0,誠品生活,"['000', '德英', '000']","['寶島極', '000', '000']","['000', '000', '全達']",天揚5345,鴻翊3521
59,366447990.0,1.68,2937.0,集雅社,"['000', '泰金-KY']","['集雅社', '000']",昱捷3232,茂生農經1240,豪展4735
60,192686000.0,-999.0,2947.0,振宇五金,"['000', '大略-KY', '000', '000']","['000', '000', '群翊', '000']","['晶呈科技', '000', '000', '永利聯合']","['000', '000', '000', '000']",智聯服務6751
61,267384250.0,0.01,3064.0,泰偉,"9999    000
3540     曜越
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
5328     華容
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3085    新零售
9999    000
9999    000
9999    000
5355     佳總
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
6244     茂迪
9999    000
9999    000
Name: 0, dtype: string"
62,830706120.0,1.44,3066.0,李洲,"['000', '台燿']","['崧騰', '000']",振曜6143,萬潤6187,宜鼎5289
63,200000000.0,5.24,3067.0,全域,全域3067,揚秦2755,智聯服務6751,台灣銘板6593,華義3086
64,1100000000.0,0.44,3071.0,協禧,"9999    000
3615     安可
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
8440     綠電
Name: 0, dtype: string","9999      000
9999      000
9999      000
4139    馬光-KY
9999      000
6190      萬泰科
9999      000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
65,270995560.0,-0.46,3073.0,天方能源,"['000', '霖宏']","['天方能源', '000']",雍智科技6683,東捷資訊6697,新鼎5209
66,2273910640.0,0.9,3078.0,僑威,"['000', '研通']","['漢科', '000']",欣雄8908,全家5903,永信建5508
67,913691770.0,0.08,3081.0,聯亞,"['000', '台聯櫃']","['三顧', '000']",晶焱6411,松普5488,商丞8277
68,862696080.0,-0.24,3083.0,網龍,"['000', '志旭']","['律勝', '000']",和勤1586,友華4120,慶騰4534
69,480385770.0,0.01,3085.0,新零售,"9999    000
3540     曜越
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
5328     華容
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3085    新零售
9999    000
9999    000
9999    000
5355     佳總
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
6244     茂迪
9999    000
9999    000
Name: 0, dtype: string"
70,193694000.0,-0.06,3086.0,華義,"9999    000
3652     精聯
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999     000
9999     000
9999     000
9999     000
9999     000
5398    慕康生醫
9999     000
9999     000
Name: 0, dtype: string","9999     000
9999     000
3713    新晶投控
4160      創源
9999     000
9999     000
9999     000
6496      科懋
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
71,902024840.0,1.05,3088.0,艾訊,['000'],有益9962,創惟6104,聯光通4903,優群3217
72,651133140.0,0.71,3089.0,億杰,"['000', '凱衛', '000']","['000', '000', '老爺知']","['豪展', '000', '000']",大宇資6111,至寶電3226
73,362888940.0,2.42,3093.0,港建,['000'],瑞耘6532,世德2066,IET-KY4971,惠普8424
74,1092763210.0,-0.26,3095.0,及成,['000'],健亞4130,立碁8111,精確3162,洛碁8077
75,4239763840.0,4.19,3105.0,穩懋,穩懋3105,龍巖5530,富喬1815,環球晶6488,元隆6287
76,590800000.0,0.53,3114.0,好德,"['000', '今展科', '000', '000']","['000', '000', '000', '000']","['000', '000', '展匯科', '能率網通']","['000', '000', '000', '000']",志豐3206
77,436976000.0,-0.16,3115.0,寶島極,"['000', '德英', '000']","['寶島極', '000', '000']","['000', '000', '全達']",久威6114,廣寰科3287
78,324528600.0,0.48,3118.0,進階,"9999    000
3287    廣寰科
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3213     茂訊
9999    000
4535     至興
5315     光聯
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
5410     國眾
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
79,382999340.0,1.23,3122.0,笙泉,['000'],得利影6144,勁豐6577,訊達電腦6140,東生華8432
80,420000000.0,0.37,3128.0,昇銳,"9999    000
3289     宜特
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3276       宇環
9999      000
4129       聯合
5230    雷笛克光學
8917       欣泰
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
81,292160150.0,8.45,3131.0,弘塑,弘塑3131,富晶通3623,五福2745,台微醫6767,華鎂鑫8087
82,747860280.0,3.35,3141.0,晶宏,晶宏3141,鑫創3259,皇田9951,捷波6161,美琪瑪4721
83,390060990.0,0.78,3147.0,大綜,"['000', '芮特-KY', '000']","['000', '000', '000']","['000', '000', '000']",映興3597,老爺知5704
84,690162000.0,1.59,3152.0,璟德,['000'],太普高3284,九暘8040,華盈3520,神盾6462
